Time (ms), Potentiometer 0 (mm), Potentiometer 1 (mm), Acceleration X (m/s^2), Acceleration Y (m/s^2), Acceleration Z (m/s^2)
0.051,19599,20189,-10.82179150390625,-2.039859814453125,2.6336218261718747
0.06,19548,20076,-10.151415039062499,-2.868253588867187,3.299209887695312
0.067,19546,19728,-7.982268334960937,-1.5035586425781249,5.501875415039062
0.075,19377,19778,-7.240065820312499,-0.2059013427734375,7.1586629638671875
0.083,19545,19427,-4.3430818115234375,0.3112462158203125,5.8226984375
0.09,19280,19639,-5.4779333984375,-0.39743747558593745,5.6024318847656245
0.098,19548,19507,-5.42047255859375,-0.27293898925781246,3.706224169921875
0.106,19440,19564,-10.386046801757812,-1.0726023437499999,3.7205893798828122
0.113,19544,19488,-10.615890161132812,-1.656787548828125,4.7022120605468745
0.121,19535,19389,-13.163320727539062,-2.2457611572265623,2.212242333984375
0.129,19467,19296,-14.609418530273437,-0.5793968017578125,1.8148048583984373
0.136,19403,19048,-13.804966772460936,-2.5570073730468748,3.27526787109375
0.144,19192,19118,-12.272677709960936,-2.5905261962890624,3.907337109375
0.152,19296,18744,-10.864887133789061,-1.1923124267578125,5.334281298828125
0.159,19015,18868,-9.069235888671875,-2.2266075439453124,5.683834741210937
0.167,19285,18603,-8.547299926757812,0.7948749511718749,4.932055419921875
0.175,19136,18617,-4.92247861328125,2.365471240234375,4.505887524414062
0.182,19317,18493,-2.6384102294921874,2.50912333984375,4.395754248046875
0.19,19347,18401,-2.7581203125,2.1212626708984375,2.068590234375
0.198,19400,18302,-3.9695863525390624,2.920926025390625,2.6671406494140624
0.205,19426,18095,-6.129156249999999,2.04943662109375,2.1883003173828124
0.213,19312,18137,-10.87925234375,0.9911994873046874,-0.0430956298828125
0.221,19393,17840,-11.405976708984374,3.35188232421875,3.706224169921875
0.228,19068,18020,-14.00129130859375,-0.6847416748046875,3.2417490478515623
0.236,19228,17724,-14.475343237304687,-2.427720483398437,3.5290532470703124
0.244,18971,17708,-12.957419384765624,-1.9488801513671874,4.92247861328125
0.251,19129,17486,-7.417236743164062,-0.229843359375,5.966350537109375
0.259,19094,17374,-6.406883642578125,-1.0486603271484374,2.6431986328124997
0.267,19130,17306,-7.536946826171874,-0.9241618408203125,3.921702319335937
0.274,19130,17218,-6.186617089843749,-0.49320554199218747,-1.9536685546875
0.282,19077,17284,-6.900089184570312,-3.21780703125,-3.42849677734375
0.29,19136,17077,-3.725377783203125,-4.352658618164062,-0.6943184814453125
0.297,18918,17278,-6.234501123046875,-4.553771557617187,0.033518823242187495
0.305,19134,17096,-6.119579443359375,-2.916137622070312,0.5985504150390625
0.313,18913,17281,-10.05564697265625,-5.951985327148437,4.544194750976562
0.32,19112,17209,-14.250288281249999,-5.501875415039062,3.7924154296875
0.328,19023,17117,-16.314090112304687,-3.687070556640625,5.181052392578125
0.336,18969,16940,-19.704279663085938,-2.7246014892578123,3.7205893798828122
0.343,18775,16743,-18.559851269531247,-1.5275006591796874,3.327940307617187
0.351,18590,16644,-16.371550952148436,-0.74699091796875,6.584054565429687
0.359,18570,16460,-8.480262280273436,-1.1061211669921875,7.062894897460937
0.417,18717,16489,-4.841075756835937,-0.1197100830078125,0.32082302246093747
0.425,18766,16573,-4.53940634765625,0.1867477294921875,1.5705962890624998
0.433,18875,16646,-3.835511059570312,-0.4836287353515625,0.6751648681640625
0.441,18818,17190,-2.6240450195312497,0.229843359375,-1.9297265380859374
0.448,19062,17385,-4.089296435546875,-1.1635820068359375,0.718260498046875
0.456,18831,17789,-9.394847314453125,0.5889736083984375,15.739481713867187
0.464,19072,17680,-20.532673437499998,-0.36391865234375,10.749965454101561
0.471,18940,17624,-20.101717138671873,-1.7286135986328124,11.985373510742187
0.479,18962,17302,-16.543933471679686,-1.005564697265625,15.294160205078125
0.487,18927,16832,-15.758635327148436,-1.37906015625,15.974113476562499
0.494,18792,16463,-14.216769458007812,-3.1268273681640624,11.410765112304686
0.502,18706,16188,-10.544064111328124,-5.348646508789062,0.9576806640625
0.51,18527,16356,-2.269703173828125,-2.389413256835937,5.233724829101562
0.517,18682,16233,5.626373901367187,-1.9584569580078124,4.7884033203125
0.525,18435,16622,1.2737152832031249,-2.0302830078125,1.7238251953125
0.533,18689,16684,2.9544448486328125,-1.3120225097656248,1.5705962890624998
0.54,18569,16970,4.50109912109375,-2.6144682128906247,-0.51714755859375
0.548,18688,17173,1.9536685546875,-0.6560112548828124,-0.689530078125
0.556,18679,17341,-0.21068974609375,0.1388636962890625,0.9241618408203125
0.563,18686,17540,-1.388636962890625,0.689530078125,0.8714894042968749
0.571,18698,17610,-2.1930887207031247,0.814028564453125,2.269703173828125
0.579,18596,17824,-0.842758984375,5.702988354492187,7.1586629638671875
0.586,18674,17587,-15.849614990234373,-0.16280571289062498,10.769119067382812
0.594,18412,17847,-19.05784521484375,-1.9201497314453124,2.4516625
0.602,18643,17723,-9.227253198242186,-2.250549560546875,8.978256225585938
0.609,18450,17964,-4.7884033203125,0.40222587890625,11.410765112304686
0.617,18634,18150,-7.1395093505859375,-0.7900865478515624,0.258573779296875
0.625,18626,18463,0.22026655273437498,-2.887407202148437,-0.411802685546875
0.632,18676,18684,0.7326257080078125,2.5953145996093747,5.142745166015625
0.64,18676,18669,-3.6439749267578123,1.1875240234375,5.947196923828125
0.648,18586,18748,-7.809885815429687,0.21068974609375,7.666233715820312
0.655,18664,18505,-10.199299072265624,-0.7422025146484375,5.5449710449218745
0.663,18407,18738,-10.251971508789062,-0.38786066894531246,3.2321722412109373
0.671,18592,18539,-12.23915888671875,-2.29843359375,5.884947680664062
0.678,18254,18720,-10.060435375976562,-0.7134720947265625,9.86411083984375
0.686,18341,18602,-7.594407666015624,0.21068974609375,10.544064111328124
0.694,18252,18362,-4.778826513671874,-3.0837317382812497,10.146626635742187
0.701,18260,17860,-6.354211206054687,-0.0909796630859375,12.607865942382812
0.709,18215,17326,-9.5001921875,-0.5793968017578125,9.404424121093749
0.717,18080,16961,-9.710881933593749,-2.1978771240234374,9.481038574218749
0.724,17952,16388,-8.279149340820313,-0.93852705078125,9.816226806640625
0.732,17575,16273,-5.386953735351562,-1.867477294921875,6.89530078125
0.79,16405,16042,-8.748412866210938,0.1149216796875,8.8489693359375
0.798,16409,15696,-9.720458740234374,3.2225954345703123,10.682927807617187
0.806,16099,15712,-8.844180932617187,2.1212626708984375,16.855179687499998
0.813,16303,15495,-8.499415893554687,2.6001030029296874,9.437942944335937
0.821,16203,15562,-5.837063647460937,3.323151904296875,6.79953271484375
0.829,16313,15563,-5.7508723876953125,4.13718046875,5.109226342773437
0.836,16304,15557,-8.12113203125,5.57370146484375,2.1404162841796874
0.844,16219,15620,-7.6087728759765625,4.673481640625,5.45877978515625
0.852,15928,15621,-7.81467421875,-0.59376201171875,6.890512377929687
0.859,15426,15865,-7.3837179199218745,2.6527754394531247,6.72291826171875
0.867,15193,15790,-4.592078784179687,5.6024318847656245,7.149086157226562
0.875,14768,16096,-3.6200329101562496,0.5985504150390625,9.457096557617186
0.882,14780,15985,-5.295974072265625,3.361459130859375,12.938265771484375
0.89,14462,16067,-7.972691528320312,5.45877978515625,10.47702646484375
0.898,14362,15939,-10.927136376953124,1.6328455322265625,9.7683427734375
0.905,14072,15829,-11.310208642578125,0.6943184814453125,11.396399902343749
0.913,13893,15746,-7.1586629638671875,-0.27293898925781246,10.97502041015625
0.921,13832,15652,-7.163451367187499,1.4125789794921875,7.991845141601562
0.929,13761,15727,-0.38307226562499996,-1.4317325927734375,5.032611889648437
0.936,13831,15537,-7.034164477539062,0.488417138671875,4.965574243164062
