Time (ms), Potentiometer 0 (mm), Potentiometer 1 (mm), Acceleration X (m/s^2), Acceleration Y (m/s^2), Acceleration Z (m/s^2)
0.051,17004,16880,-16.136919189453124,-0.97683427734375,13.800178369140625
0.06,16902,16338,-12.349292163085936,1.0869675537109373,7.359775903320312
0.067,16786,15813,-6.028599780273437,-0.6751648681640625,8.164227661132813
0.075,16470,15814,-3.423708374023437,3.6487633300781246,9.969455712890625
0.083,16511,15368,-3.21780703125,0.2442085693359375,9.222464794921875
0.09,15946,15768,-4.735730883789063,0.928950244140625,9.208099584960937
0.098,16131,15567,-5.736507177734374,0.833182177734375,5.827486840820312
0.106,15849,15877,-4.333505004882812,0.6560112548828124,3.5482068603515624
0.113,15998,15928,-3.246537451171875,3.5769372802734374,3.9504327392578125
0.121,15827,16020,-3.4572271972656248,2.1595698974609374,5.674257934570313
0.129,15748,16033,-5.659892724609374,2.31758720703125,9.667786303710937
0.136,15570,15860,-8.451531860351562,0.6560112548828124,8.767566479492187
0.144,15228,16033,-9.394847314453125,-1.2880804931640624,9.95987890625
0.152,15241,15501,-9.648632690429688,-1.5514426757812498,8.092401611328125
0.159,14764,15615,-8.643067993164061,-2.887407202148437,8.087613208007811
0.167,15056,15130,-10.424354028320312,-1.714248388671875,7.163451367187499
0.175,14650,15235,-12.445060229492187,-1.6903063720703124,5.97592734375
0.182,14539,15206,-6.89530078125,-3.4572271972656248,5.425260961914062
0.19,14113,15305,-6.507440112304687,-4.017470385742187,3.5577836669921874
0.198,13802,15481,-5.372588525390625,-4.151545678710937,5.372588525390625
0.205,13587,15491,-2.6671406494140624,-6.291961962890625,5.166687182617188
0.213,13342,15725,-1.5897499023437498,-2.1452046874999997,5.142745166015625
0.221,13317,15380,-2.4660277099609376,0.3687070556640625,7.896077075195312
0.228,12810,15764,-5.592855078125,3.6296097167968746,12.895170141601561
0.236,12870,15491,-9.658209497070311,-0.7038952880859375,13.627795849609374
0.244,12459,15587,-11.463437548828125,-0.32561142578124996,15.097835668945311
0.251,12638,15308,-11.870451831054687,1.0199299072265624,12.243947290039062
0.31,13017,15256,-2.3367408203125,-1.695094775390625,2.896984008789062
0.317,13251,15606,-3.825934252929687,-0.6081272216796875,1.714248388671875
0.325,13602,15945,-5.295974072265625,-0.49320554199218747,-1.3407529296874998
0.333,13892,16283,-6.943184814453125,1.1540052001953125,-2.829946362304687
0.34,14024,16975,-6.770802294921874,2.2601263671875,-0.0383072265625
0.348,14300,17201,-7.915230688476562,3.1699229980468746,-4.544194750976562
0.356,14162,18051,-6.062118603515625,0.6081272216796875,2.1547814941406247
0.363,14590,18055,-9.744400756835937,3.6152445068359373,3.9456443359374997
0.371,14444,18520,-5.779602807617187,-0.028730419921875,6.617573388671874
0.379,14838,18486,-9.006986645507812,1.8339584716796873,9.236830004882812
0.386,14828,18531,-15.275006591796874,1.2114660400390624,2.5234885498046875
0.394,14816,18525,-12.512097875976561,2.0733786376953125,10.09395419921875
0.402,14746,18216,-11.142614526367186,2.8012159423828122,14.556746093749998
0.409,14560,17951,-11.310208642578125,-1.0965443603515623,11.262324609375
0.468,13321,15921,-7.3837179199218745,-2.43250888671875,1.3455413330078123
0.476,13200,15873,-6.612784985351562,2.4899697265625,0.8283937744140625
0.483,12869,16428,-6.871358764648437,2.89219560546875,0.737414111328125
0.491,12863,16317,-5.66946953125,3.39018955078125,4.065354418945312
0.499,12299,16894,-6.804321118164062,-0.5746083984375,11.066000073242186
0.506,12282,16770,-9.993397729492187,1.3838485595703125,14.302960717773436
0.514,11928,16890,-8.911218579101561,1.915361328125,12.387599389648436
0.522,11916,16810,-9.260772021484375,3.825934252929687,14.030021728515624
0.529,11880,16589,-12.23915888671875,-3.318363500976562,7.824251025390624
0.537,11836,16423,-14.049175341796873,-2.50912333984375,3.4093431640625
0.545,11798,16109,-9.677363110351562,-3.5003228271484375,1.3359645263671873
0.552,11584,16349,-4.060566015625,-3.6296097167968746,8.973467822265624
0.56,11801,15974,0.488417138671875,0.737414111328125,11.003750830078124
0.568,11557,16249,-10.347739575195313,-0.19632453613281248,4.8506525634765625
0.575,11818,16024,-14.709975,1.465251416015625,7.75721337890625
0.583,11744,16027,-13.508085766601562,5.549759448242187,7.4603323730468745
0.591,11827,16039,-9.370905297851563,4.376600634765625,4.587290380859375
0.598,11820,16083,-10.625466967773438,0.5602431884765625,2.6096798095703124
0.606,11785,16146,-9.289502441406249,2.5617957763671875,12.732364428710937
0.614,11739,15866,-9.188945971679686,1.1731588134765625,16.472107421875
0.621,11514,16047,-8.657433203124999,-2.9831752685546875,12.445060229492187
0.629,11717,15503,-5.391742138671875,-3.5865140869140624,9.667786303710937
0.637,11488,15606,-9.816226806640625,-0.6464344482421874,4.778826513671874
0.644,11800,15367,-10.409988818359375,-2.839523168945312,2.2170307373046874
0.652,11788,15453,-6.373364819335937,-2.327164013671875,2.7437551025390623
0.66,12039,15504,-4.170699291992188,-0.17238251953125,4.084508032226562
0.667,12296,15597,-0.9624690673828125,1.7094599853515624,3.4524387939453125
0.675,12598,15774,-4.209006518554688,0.74699091796875,1.5275006591796874
0.683,12892,15672,-7.4028715332031245,1.0965443603515623,1.0965443603515623
