Time (ms), Potentiometer 0 (mm), Potentiometer 1 (mm), Acceleration X (m/s^2), Acceleration Y (m/s^2), Acceleration Z (m/s^2)
0.051,18590,25221,-7.287949853515625,-3.265691064453125,6.042964990234375
0.06,19268,24524,-7.283161450195312,-3.289633081054687,5.813121630859374
0.067,18659,25222,-7.278373046874999,-3.2513258544921873,5.774814404296874
0.075,19268,24956,-7.326257080078125,-3.2800562744140622,5.942408520507812
0.083,19045,25219,-7.292738256835937,-3.2034418212890623,5.923254907226562
0.09,19264,25227,-6.133944653320312,-3.2417490478515623,5.932831713867187
0.098,19271,25199,-7.407659936523437,-3.1220389648437497,5.8083332275390624
0.106,19252,25224,-7.45075556640625,-3.0980969482421874,5.942408520507812
0.113,19266,24650,-7.417236743164062,-3.0406361083984375,5.932831713867187
0.121,18832,25226,-7.41244833984375,-3.0214824951171875,6.0525417968749995
0.129,19266,24423,-7.4220251464843745,-2.987963671875,7.316680273437499
0.136,18641,25226,-7.4028715332031245,-3.1268273681640624,7.321468676757812
0.144,19267,25016,-8.547299926757812,-3.1268273681640624,6.028599780273437
0.152,19078,25220,-7.407659936523437,-3.1364041748046874,5.9950809570312495
0.159,19263,25225,-7.3932947265625,-3.2417490478515623,6.076483813476562
0.167,19271,25168,-7.4411787597656245,-3.189076611328125,5.9950809570312495
0.175,19243,25224,-7.37414111328125,-3.208230224609375,6.019022973632812
0.182,19268,24610,-7.335833886718749,-3.19865341796875,7.307103466796875
0.19,18831,25230,-8.556876733398436,-3.1938650146484373,6.205770703124999
0.198,19267,24433,-7.398083129882812,-3.1555577880859373,6.210559106445312
0.205,18642,25224,-7.364564306640625,-3.2321722412109373,4.970362646484375
0.213,19267,25011,-7.37414111328125,-3.1220389648437497,6.0716954101562495
0.221,19079,25213,-7.326257080078125,-3.0885201416015624,6.081272216796875
0.228,19266,25227,-7.3837179199218745,-3.0789433349609374,6.023811376953125
0.236,19268,25125,-6.153098266601562,-2.9927520751953125,6.042964990234375
0.244,19214,25227,-6.196193896484375,-2.906560815429687,6.023811376953125
0.251,19271,24549,-7.345410693359375,-3.0550013183593747,6.009446166992187
0.259,18778,25225,-7.398083129882812,-2.9544448486328125,6.0716954101562495
0.267,19270,24475,-7.3549875,-2.896984008789062,5.990292553710937
0.274,18671,25224,-7.4220251464843745,-2.901772412109375,5.899312890625
0.282,19267,25032,-7.431601953125,-2.806004345703125,5.894524487304687
0.29,19112,25217,-7.45075556640625,-2.7198130859375,5.97592734375
0.297,19266,25223,-7.513004809570312,-2.6192566162109374,5.8610056640625
0.305,19271,25076,-7.522581616210937,-2.6431986328124997,5.899312890625
0.313,19183,25230,-7.6470801025390625,-2.6527754394531247,5.928043310546875
0.32,19274,24495,-7.723694555664062,-2.5809493896484375,5.832275244140624
0.328,18741,25220,-7.651868505859374,-2.70065947265625,5.966350537109375
0.336,19275,24556,-7.666233715820312,-2.7964275390625,5.837063647460937
0.343,18743,25218,-7.599196069335937,-2.849099975585937,5.8083332275390624
0.351,19268,25109,-7.556100439453124,-2.877830395507812,5.80354482421875
0.359,19167,25216,-7.709329345703124,-2.9831752685546875,5.7843912109375
0.417,18981,25215,-7.843404638671874,-3.1316157714843746,5.439626171875
0.425,19264,25212,-7.886500268554687,-3.2225954345703123,5.310339282226562
0.433,19258,25208,-7.881711865234375,-3.2704794677734372,5.1140147460937495
0.44,19266,25218,-7.943961108398437,-3.2034418212890623,5.267243652343749
0.448,19275,24674,-7.896077075195312,-2.987963671875,5.367800122070312
0.456,18866,25219,-7.881711865234375,-3.0406361083984375,5.257666845703125
0.463,19278,24353,-7.920019091796875,-2.9927520751953125,5.219359619140625
0.471,18604,25214,-7.920019091796875,-2.887407202148437,5.272032055664062
0.479,19277,24926,-7.8338278320312495,-2.8730419921875,5.363011718749999
0.486,19043,25212,-7.963114721679687,-2.858676782226562,5.190629199218749
0.494,19272,25216,-7.862558251953125,-2.9496564453125,5.310339282226562
0.502,19275,25178,-8.125920434570313,-2.916137622070312,5.1714755859374995
0.509,19260,25212,-8.384494213867187,-2.834734765625,5.3007624755859375
0.517,19278,24616,-8.33182177734375,-2.729389892578125,5.45877978515625
0.525,18833,25207,-8.2360537109375,-2.839523168945312,5.683834741210937
0.532,19278,24454,-7.924807495117187,-2.8012159423828122,5.932831713867187
0.54,18679,25204,-7.733271362304687,-2.6431986328124997,5.923254907226562
0.548,19281,25025,-7.48906279296875,-2.418143676757812,5.875370874023437
0.555,19084,25192,-7.369352709960937,-2.4947581298828125,5.597643481445312
0.563,19277,25206,-7.45075556640625,-2.31758720703125,5.386953735351562
0.571,19278,25138,-7.465120776367187,-2.2601263671875,5.214571215820312
0.578,19251,25190,-7.513004809570312,-2.365471240234375,5.195417602539062
0.586,19279,24562,-7.335833886718749,-2.288856787109375,5.238513232421875
0.594,18821,25187,-7.273584643554687,-2.020706201171875,5.616797094726562
0.601,19277,24467,-7.268796240234375,-2.3032219970703123,5.7891796142578125
0.609,18697,25178,-7.359775903320312,-2.446874096679687,5.7125651611328125
0.617,19274,24990,-7.599196069335937,-2.1404162841796874,5.698199951171874
0.624,19111,25164,-7.6279264892578125,-2.1930887207031247,5.430049365234375
0.632,19268,25153,-7.6614453125,-2.2026655273437497,5.49708701171875
0.64,19281,25020,-7.637503295898437,-2.0925322509765625,5.396530541992187
0.698,19271,24675,-7.316680273437499,-2.231395947265625,4.96078583984375
0.706,19169,24782,-7.268796240234375,-2.1547814941406247,4.80755693359375
0.713,19269,24013,-7.45075556640625,-1.9584569580078124,4.821922143554687
0.721,18724,24668,-7.45075556640625,-1.9680337646484374,4.8889597900390624
0.729,19271,23992,-7.7763669921875,-1.6472107421875,5.137956762695312
0.736,18752,24539,-8.250418920898436,-1.6903063720703124,5.410895751953125
0.744,19259,24357,-8.494627490234375,-1.4604630126953124,5.3390697021484375
0.752,19179,24357,-8.427589843749999,-1.4796166259765624,5.257666845703125
0.759,19249,24261,-7.378929516601562,-1.465251416015625,5.085284326171875
0.767,19250,23906,-8.681375219726561,-1.5610194824218748,4.8698061767578125
0.775,19053,24059,-8.690952026367187,-1.4604630126953124,5.228936425781249
0.782,19216,23190,-8.690952026367187,-1.5418658691406248,5.45877978515625
0.79,18602,23855,-8.288726147460936,-1.4987702392578124,5.693411547851563
0.798,19176,23190,-7.790732202148437,-1.446097802734375,5.425260961914062
0.805,18687,23679,-7.3932947265625,-1.0534487304687499,4.975151049804687
0.813,19147,23518,-7.125144140624999,-1.4700398193359374,4.553771557617187
0.821,19072,23498,-7.034164477539062,-1.1013327636718748,4.295197778320312
0.828,19114,23424,-6.9910688476562495,-0.7565677246093749,4.299986181640625
0.836,19097,23028,-7.259219433593749,-0.6177040283203125,4.525041137695312
0.844,18845,23239,-7.388506323242187,-0.22026655273437498,5.085284326171875
0.851,19035,22373,-7.268796240234375,0.0718260498046875,5.2816088623046875
0.859,18390,23028,-7.082048510742187,-0.26336218261718747,5.516240625
0.867,18970,22369,-6.641515405273437,-0.3687070556640625,5.7700260009765625
0.874,18473,22736,-6.41646044921875,0.1292868896484375,5.889736083984375
0.882,18897,22520,-6.210559106445312,-0.201112939453125,5.999869360351562
0.89,18800,22423,-6.636727001953124,-0.0526724365234375,6.133944653320312
0.897,18799,22280,-7.062894897460937,0.258573779296875,6.392518432617187
0.956,18405,21037,-9.414000927734374,1.446097802734375,8.283937744140625
0.964,18393,20771,-9.600748657226562,-1.197100830078125,7.278373046874999
0.971,18332,20727,-8.834604125976561,0.814028564453125,6.87614716796875
0.979,18360,20096,-8.374917407226562,0.9576806640625,6.962338427734375
0.987,17890,20566,-7.905653881835937,0.9050082275390624,6.287173559570312
0.994,18335,19925,-7.517793212890624,0.47884033203125,6.129156249999999
1.002,17764,20488,-7.072471704101562,0.32561142578124996,5.592855078125
1.01,18323,20312,-6.411672045898437,-0.105344873046875,5.7508723876953125
1.017,18172,20419,-5.439626171875,-0.1005564697265625,5.453991381835937
1.025,18311,20348,-5.7891796142578125,0.7805097412109374,5.932831713867187
1.033,18304,20115,-6.325480786132812,0.22026655273437498,6.469132885742187
1.04,18213,20072,-7.498639599609374,-0.229843359375,6.124367846679687
1.048,18247,19417,-8.130708837890625,-0.5602431884765625,6.081272216796875
1.056,17749,19770,-8.207323291015625,-1.35990654296875,6.679822631835937
1.063,18124,19057,-7.886500268554687,-1.16837041015625,7.149086157226562
1.071,17543,19478,-7.56567724609375,-1.0342951171875,6.555324145507812
1.079,18051,19212,-7.321468676757812,-0.7422025146484375,6.488286499023437
1.086,17883,19190,-7.000645654296875,-0.9864110839843749,6.315903979492187
1.094,17976,19057,-6.746860278320312,-0.9337386474609375,6.5026517089843745
1.102,17948,18820,-7.005434057617187,-1.22583125,6.062118603515625
1.109,17813,18850,-7.053318090820312,-0.7948749511718749,5.61200869140625
1.117,17856,18252,-7.551312036132812,-0.5219359619140624,5.358223315429687
1.125,17309,18764,-7.771578588867187,-1.5849614990234373,5.03740029296875
1.132,17750,18278,-8.21690009765625,-0.97683427734375,5.372588525390625
1.14,17225,18734,-8.920795385742187,-0.5746083984375,5.406107348632812
1.148,17652,18651,-8.67658681640625,-0.354341845703125,5.147533569335937
1.155,17536,18721,-8.504204296874999,-1.0965443603515623,4.639962817382812
1.163,17598,18727,-8.034940771484374,0.2154781494140625,4.256890551757812
1.171,17585,18548,-8.25520732421875,-0.9145850341796874,4.304774584960938
1.178,17427,18722,-8.623914379882812,-1.2976572998046874,3.7301661865234372
1.186,17555,18133,-9.332598071289063,-1.656787548828125,4.6830584472656245
1.194,16988,18720,-9.409212524414063,-2.2361843505859373,4.946420629882812
1.201,17511,18265,-9.509768994140625,-1.7717092285156248,5.61200869140625
1.209,17064,18717,-9.710881933593749,-1.43652099609375,5.8226984375
1.217,17489,18651,-10.13226142578125,-1.4317325927734375,5.774814404296874
1.224,17415,18708,-10.601524951171875,-1.426944189453125,5.506663818359375
1.232,17462,18725,-10.817003100585938,-1.1875240234375,4.96078583984375
1.24,17439,18467,-10.984597216796875,-1.6472107421875,4.204218115234375
1.247,17179,18722,-10.500968481445312,-1.5466542724609373,3.7014357666015623
1.255,17306,18287,-9.80665,-1.8004396484374998,2.7916391357421872
1.263,16857,18720,-7.575254052734374,-3.5242648437499997,1.9728221679687499
1.271,17216,18145,-5.161898779296875,-1.6711527587890624,2.7054478759765623
1.278,16647,18731,-5.851428857421874,-1.8626888916015625,4.218583325195312
1.286,17162,18582,-7.7763669921875,-1.3263877197265623,5.070919116210937
1.294,16956,18739,-9.504980590820312,-0.74699091796875,4.328716601562499
1.301,17080,18747,-8.259995727539062,-0.1867477294921875,4.304774584960938
1.309,17056,18663,-8.384494213867187,0.12449848632812499,3.883395092773437
