Time (ms), Potentiometer 0 (mm), Potentiometer 1 (mm), Acceleration X (m/s^2), Acceleration Y (m/s^2), Acceleration Z (m/s^2)
0.051,15737,17723,-12.823344091796875,-2.288856787109375,4.0222587890625
0.059,15825,17672,-7.513004809570312,-0.86191259765625,6.167463476562499
0.067,15758,17717,-9.5384994140625,1.3263877197265623,5.147533569335937
0.075,15821,17726,-6.268019946289062,0.8762778076171874,2.518700146484375
0.082,15811,17709,-6.0525417968749995,1.1109095703125,9.107543115234375
0.09,15781,17542,-8.355763793945313,0.3447650390625,8.614337573242187
0.098,15703,16995,-9.682151513671874,-2.940079638671875,10.275913525390624
0.106,15638,16496,-10.802637890625,-2.9544448486328125,12.579135522460938
0.113,15750,15881,-5.961562133789062,-0.44532150878906246,7.551312036132812
0.121,15642,15864,-5.588066674804687,-2.250549560546875,4.017470385742187
0.129,15958,15734,-3.6152445068359373,-0.3064578125,1.7860744384765623
0.136,16031,15854,-7.589619262695312,2.250549560546875,1.7334020019531249
0.144,16245,15864,-11.386823095703125,3.5098996337890624,-0.09576806640624999
0.152,16160,15889,-13.670891479492187,3.6822821533203123,3.6822821533203123
0.159,16081,15898,-9.581595043945311,5.7317187744140625,4.237736938476562
0.167,15893,15863,-9.95987890625,0.4836287353515625,3.1316157714843746
0.175,15469,16031,-6.833051538085937,0.33039982910156246,5.760449194335937
0.182,15204,16192,-3.356670727539062,-1.0534487304687499,1.350329736328125
0.19,14851,16867,3.6104561035156246,0.17238251953125,4.2521021484374995
0.198,14981,17234,4.333505004882812,0.833182177734375,5.190629199218749
0.205,14866,17682,-2.250549560546875,4.7931917236328125,10.951078393554686
0.213,14975,17646,-14.69082138671875,-3.246537451171875,14.930241552734374
0.221,14939,17415,-15.389928271484374,0.74699091796875,12.16254443359375
0.228,14962,17020,-14.920664746093749,-1.5131354492187499,11.247959399414063
0.236,14976,16645,-10.223241088867187,-2.7916391357421872,11.420341918945311
0.244,14998,16584,-7.230489013671875,-2.068590234375,-1.47482822265625
0.251,15063,16529,-4.1754876953124995,-0.3399766357421875,2.1739351074218747
0.259,14967,16847,-4.529829541015625,-1.5753846923828123,4.874594580078124
0.267,15091,16995,-5.2624552490234375,-1.2401964599609374,3.6056677001953124
0.274,14961,17445,-3.4428619873046875,-0.1292868896484375,2.887407202148437
0.282,15190,17624,-6.124367846679687,3.1411925781249996,2.6096798095703124
0.29,15293,17861,-7.4603323730468745,2.1978771240234374,-1.5801730957031248
0.297,15482,18032,-11.03248125,0.737414111328125,-0.9145850341796874
0.305,15513,18201,-12.033257543945313,-3.1076737548828124,-2.389413256835937
0.313,15480,18453,-8.456320263671875,0.13407529296874998,0.38786066894531246
0.32,15453,18630,-4.759672900390624,-3.380612744140625,1.7908628417968748
0.328,15330,18985,-5.717353564453124,0.296881005859375,7.077260107421875
0.336,15427,18879,-5.2816088623046875,-0.239420166015625,11.654973681640625
0.343,15257,19096,-5.760449194335937,-2.1308394775390624,7.062894897460937
0.351,15440,19034,-5.736507177734374,0.2442085693359375,10.137049829101562
0.359,15375,19106,-11.01332763671875,-0.28730419921875,8.532934716796875
0.367,15396,19060,-13.517662573242188,-1.6711527587890624,2.6240450195312497
0.374,15333,19092,-12.215216870117187,-2.0302830078125,6.320692382812499
0.382,15182,19098,-23.204602490234375,-7.6470801025390625,10.788272680664061
0.39,15056,19054,-3.35188232421875,0.033518823242187495,16.021997509765622
0.397,14901,19046,-11.343727465820312,2.0781670410156248,14.566322900390624
0.405,14846,18848,-15.251064575195311,-2.269703173828125,9.1554271484375
0.413,14565,18975,-12.62223115234375,-1.9536685546875,3.5146880371093747
0.42,14416,18791,-4.975151049804687,-1.5658078857421873,6.995857250976562
0.479,12720,19686,1.9584569580078124,-0.7326257080078125,-3.23696064453125
0.487,12591,20028,-12.143390820312499,-2.5617957763671875,6.866570361328125
0.494,12691,19689,-22.79758820800781,3.4811692138671875,14.121001391601562
0.502,12508,19511,-26.293122631835935,0.26815058593749996,9.97903251953125
0.51,12469,19166,-19.397821850585938,-1.62805712890625,12.799402075195312
0.517,12404,18939,-7.857769848632812,0.814028564453125,16.543933471679686
0.525,12455,18747,-8.403647827148436,-4.185064501953125,6.995857250976562
0.533,12493,18570,-12.263100903320312,-2.987963671875,1.0295067138671874
0.54,12477,18524,-11.252747802734374,1.2497732666015624,5.5449710449218745
0.548,12494,18374,-6.488286499023437,-3.39018955078125,4.074931225585937
0.556,12424,18597,-6.023811376953125,-1.9009961181640624,10.199299072265624
0.563,12606,18452,-8.130708837890625,1.24498486328125,6.900089184570312
0.571,12562,18584,-10.453084448242187,1.2114660400390624,0.028730419921875
0.579,12702,18535,-7.920019091796875,-4.060566015625,3.4859576171874997
0.586,12761,18562,-5.990292553710937,-0.7230489013671875,3.725377783203125
0.594,12965,18562,-4.673481640625,-2.8730419921875,0.16759411621093748
0.602,13217,18583,-2.935291235351562,0.8667010009765624,1.407790576171875
0.609,13512,18739,-4.73094248046875,6.545747338867187,-1.426944189453125
0.617,13789,18774,-5.961562133789062,3.1124621582031247,-1.455674609375
0.625,13918,18958,-9.471461767578125,1.6424223388671875,4.017470385742187
0.632,14194,18813,-11.980585107421874,3.0023288818359375,4.367023828124999
0.64,14239,19000,-11.592724438476562,-0.411802685546875,11.042058056640624
0.648,14508,18882,-13.077129467773437,-0.3495534423828125,9.17458076171875
0.655,14561,18966,-12.129025610351562,2.916137622070312,7.173028173828125
0.663,14752,18961,-10.59194814453125,-2.375048046875,12.061987963867187
0.671,14877,18888,-13.570335009765625,1.149216796875,10.098742602539062
0.678,14887,18694,-17.482460522460936,3.907337109375,8.475473876953124
0.686,14842,18153,-13.326126440429686,-3.375824340820312,14.781801049804686
0.694,14678,17889,-17.4297880859375,-2.5665841796874997,12.770671655273437
0.701,14672,17514,-10.117896215820313,1.0007762939453124,10.735600244140624
0.709,14484,17680,-3.801992236328125,-1.4125789794921875,2.7533319091796873
0.717,14637,17744,1.2737152832031249,2.3127988037109373,1.695094775390625
0.724,14572,18183,4.199429711914062,2.1021090576171875,0.43574470214843747
0.732,14704,18538,-0.32082302246093747,-4.122815258789062,2.1021090576171875
0.74,14804,18808,-6.095637426757812,0.7565677246093749,0.21068974609375
0.747,15001,19059,-7.206546997070312,3.0023288818359375,1.3551181396484375
0.755,15222,19125,-11.405976708984374,-0.1292868896484375,-1.24498486328125
0.763,15245,19271,-11.803414184570311,-1.1156979736328125,1.89620771484375
0.77,15311,19105,-14.245499877929687,4.932055419921875,-0.181959326171875
0.778,14922,19331,-17.367538842773435,-2.896984008789062,-7.671022119140624
0.786,15096,19325,-9.643844287109374,-2.31758720703125,-2.068590234375
