Time (ms),Potentiometer 0 (mm),Potentiometer 1 (mm),Acceleration X (m/s^2),Acceleration Y (m/s^2),Acceleration Z (m/s^2)
0.0,5942,7988,-6.928819604492187,-3.603273498535156,6.153098266601562
0.009,5960,7943,-6.758831286621094,-3.5817256835937497,6.143521459960938
0.017,5903,7987,-7.038952880859375,-3.5482068603515624,6.244077929687499
0.024,5957,7972,-6.785167504882812,-3.67749375,6.224924316406249
0.032,5928,7990,-6.801926916503906,-3.73495458984375,6.217741711425781
0.04,5959,7985,-6.845022546386718,-3.7110125732421873,6.308721374511719
0.048,5949,7993,-6.777984899902344,-3.6822821533203123,6.2584431396484375
0.056,5938,7994,-6.629544396972656,-3.825934252929687,6.303932971191406
0.114,5960,7987,-6.698976245117187,-3.9360675292968748,6.375759020996093
0.122,5951,7993,-6.777984899902344,-3.9552211425781247,6.358999609374999
0.13,5960,7994,-6.655880615234374,-4.031835595703125,6.344634399414062
0.138,5957,7991,-6.682216833496093,-3.9911341674804683,6.296750366210937
0.146,5959,7994,-6.698976245117187,-4.029441394042968,6.404489440917969
0.153,5957,7993,-6.682216833496093,-4.094084838867187,6.323086584472656
0.212,5954,7991,-6.715735656738281,-4.168305090332031,6.344634399414062
0.22,5957,7993,-6.600813977050781,-4.1563340820312495,6.198588098144531
0.228,5958,7992,-6.617573388671874,-4.067748620605468,6.349422802734375
0.235,5956,7994,-6.56968935546875,-4.125209460449218,6.438008264160156
0.243,5958,7968,-6.742071875,-4.189852905273438,6.421248852539062
0.251,5956,7990,-6.229712719726562,-4.448426684570312,6.555324145507812
0.31,5957,7992,-6.124367846679687,-4.582501977539062,6.548141540527343
0.317,5958,7963,-6.169857678222656,-4.575319372558593,6.696582043457031
0.325,5956,7991,-6.210559106445312,-4.6998178588867185,6.457161877441406
0.333,5958,7941,-6.294356164550781,-4.836287353515624,6.4643444824218745
0.341,5935,7991,-6.445190869140625,-4.7572786987304685,6.562506750488281
0.349,5960,7923,-6.517016918945312,-4.759672900390624,6.303932971191406
0.357,5952,8058,-6.809109521484374,-3.0813375366210938,5.5641246582031245
0.415,5925,8143,-6.962338427734375,-2.3319524169921872,5.513846423339843
0.423,5952,8103,-7.742848168945312,-2.4109610717773435,6.0884548217773435
0.431,5911,8215,-8.106766821289062,-2.5474305664062498,6.279990954589843
0.439,5950,8147,-8.0828248046875,-2.786850732421875,6.172251879882812
0.446,5893,8248,-7.936778503417968,-3.1579519897460937,6.457161877441406
0.454,5907,8291,-6.909665991210937,-3.7421371948242186,6.744466076660156
0.513,5947,8200,-6.76122548828125,-3.948038537597656,6.76122548828125
0.521,5894,8289,-6.777984899902344,-4.113238452148437,6.548141540527343
0.528,5940,8205,-6.828263134765624,-3.9887399658203124,6.806715319824218
0.536,5855,8289,-7.1586629638671875,-4.434061474609375,7.486668591308593
0.544,5857,8226,-7.3861121215820305,-4.599261389160156,7.752424975585937
0.552,4451,8071,-6.734889270019531,-5.104437939453125,5.049371301269531
0.61,4215,8087,-6.100425830078125,-4.876988781738281,5.145139367675781
0.618,4090,7949,-5.224148022460938,-3.6583401367187496,2.6216508178710938
0.626,3901,7930,-5.425260961914062,-4.398148449707031,4.369418029785156
0.634,3827,7815,-5.130774157714844,-4.390965844726562,5.250484240722656
0.642,3714,7764,-5.293579870605469,-3.9145197143554684,4.659116430664063
0.65,3616,7266,-6.9336080078124995,-5.109226342773437,5.6574985229492185
0.708,3645,7212,-7.319074475097656,-5.181052392578125,5.386953735351562
0.716,3621,7218,-7.922413293457031,-4.824316345214844,5.214571215820312
0.724,3642,7187,-7.754819177246094,-4.754884497070313,5.499481213378906
0.732,3634,7169,-7.754819177246094,-4.965574243164062,5.552153649902343
0.739,3646,7142,-7.615955480957031,-5.537788439941406,5.566518859863281
0.747,3639,7107,-7.381323718261719,-5.870582470703124,5.523423229980469
0.755,3526,6894,-7.034164477539062,-4.99909306640625,5.157110375976562
0.814,3500,6878,-6.988674645996094,-5.0757075195312495,5.178658190917968
0.821,3458,6860,-6.993463049316406,-4.929661218261718,5.066130712890625
0.829,3418,6843,-7.129932543945312,-5.0948611328124995,4.762067102050781
0.837,3373,6826,-7.1586629638671875,-4.915296008300781,4.570530969238281
0.845,3332,6811,-6.957550024414062,-4.6064439941406246,4.951209033203125
0.853,3294,6688,-7.615955480957031,-3.948038537597656,5.396530541992187
0.911,3293,6660,-7.5153990112304685,-3.84987626953125,5.487510205078125
0.919,3290,6647,-7.311891870117187,-3.727771984863281,5.324704492187499
0.927,3291,6599,-7.244854223632812,-3.727771984863281,5.097255334472656
0.935,3287,6606,-7.3286512817382805,-3.890577697753906,5.097255334472656
0.942,3290,6545,-7.098807922363281,-4.067748620605468,5.039794494628906
0.95,3276,6572,-6.713341455078124,-3.859453076171875,4.781220715332031
0.958,3371,6455,-9.0021982421875,-1.2785036865234374,5.312733483886719
1.017,3478,6410,-7.788338000488281,-4.072537023925781,6.320692382812499
1.024,3541,6452,-10.290278735351562,-5.887341882324218,4.534617944335937
1.032,3615,6400,-11.109095703125,-3.921702319335937,4.101267443847656
1.04,3671,6450,-8.262389929199218,-3.1555577880859373,4.220977526855468
1.048,3827,6379,-8.243236315917969,-4.690241052246093,4.129997863769531
1.056,4635,6380,-8.288726147460936,-3.5290532470703124,1.7645266235351562
1.114,4683,6446,-7.821856823730468,-2.583343591308594,2.0973206542968748
1.122,4795,6376,-7.048529687499999,-0.7852981445312499,3.7229835815429686
1.13,4835,6444,-7.939172705078125,-1.9943699829101562,2.3511060302734372
1.138,4980,6394,-8.125920434570313,-2.583343591308594,2.437297290039062
1.146,5042,6445,-8.82981572265625,-0.8810662109374999,3.421314172363281
1.153,6310,6444,-7.017405065917968,-1.47482822265625,3.825934252929687
1.212,6492,6397,-7.876923461914062,-1.7573440185546874,2.39420166015625
1.22,6539,6443,-8.63827958984375,-0.5674257934570313,3.3016040893554686
1.227,6726,6413,-9.595960253906249,-0.09337386474609374,2.925714428710937
1.235,6806,6442,-9.97903251953125,-0.9528922607421875,1.5777788940429687
1.243,6967,6413,-9.938331091308592,-0.4285620971679687,2.1356278808593747
1.251,8779,6489,-4.685452648925781,-2.2481553588867187,6.327874987792969
1.31,9150,6531,-4.735730883789063,-0.6272808349609375,5.741295581054687
1.317,9511,6505,-5.274426257324219,0.3280056274414062,5.482721801757812
1.325,9606,6528,-5.817910034179687,0.8978256225585937,5.482721801757812
1.333,9693,6520,-7.582436657714843,1.3000515014648437,6.8785413696289055
1.341,9671,6527,-9.121908325195312,-0.48123453369140623,7.7787611938476555
1.349,9725,6528,-10.022128149414062,0.32561142578124996,7.029376074218749
1.357,10048,6848,0.19632453613281248,-1.0366893188476562,0.4644751220703125
1.415,9967,6794,-0.2705447875976562,-0.16519991455078123,-2.6216508178710938
1.423,9913,6741,-2.6910826660156246,-0.5482721801757812,1.0845733520507812
1.431,9847,6728,-6.6151791870117185,-1.0917559570312498,9.069235888671875
1.438,9838,6727,-19.026720593261718,-0.3758896606445312,6.663063220214843
1.446,9855,6732,-19.6133,-2.767697119140625,5.741295581054687
1.454,9543,6759,-6.548141540527343,-0.0718260498046875,3.3327287109375
1.512,9352,6707,-5.219359619140625,-2.080561242675781,1.2138602416992186
1.52,9102,6649,-4.311957189941406,-2.01112939453125,0.21308394775390624
1.528,8735,6627,-4.503493322753906,0.24899697265624998,-0.9864110839843749
1.536,8297,6565,-7.015010864257812,3.0166940917968748,-0.9720458740234375
1.544,8016,6592,-7.089231115722656,-0.7805097412109374,4.843469958496094
1.552,7097,6617,-5.434837768554687,-2.8514941772460936,8.2743609375
1.61,7149,6595,-9.330203869628905,-3.4644098022460934,1.1755530151367186
1.618,7184,6654,-4.819527941894531,1.43652099609375,6.0716954101562495
1.626,7433,6597,0.08858546142578125,1.47482822265625,10.558429321289061
1.633,7797,6663,-2.0278888061523435,-5.2456958374023435,5.063736511230468
1.641,8291,6608,-3.318363500976562,-2.8036101440429686,4.039018200683594
1.649,8689,6778,-7.105990527343749,1.9536685546875,15.933412048339843
1.657,9388,7756,0.3950432739257812,3.555389465332031,1.2761094848632812
1.715,9212,7689,-0.5913678100585937,1.0534487304687499,4.197035510253906
1.723,8830,7757,-0.7110778930664062,-0.24899697265624998,2.5953145996093747
1.731,8703,7697,-3.4907460205078125,4.422090466308593,5.3390697021484375
1.739,8549,7755,-6.457161877441406,2.896984008789062,11.1474029296875
1.747,8632,7720,-13.002909216308593,0.28012159423828126,3.88818349609375
1.755,9141,9475,0.7445967163085937,-4.163516687011718,6.773196496582031
1.813,9142,9540,1.9321207397460936,-1.0845733520507812,3.114856359863281
1.821,9225,9504,4.216189123535156,-0.5961562133789062,3.976768957519531
1.829,9156,9542,0.42377369384765623,-0.4644751220703125,1.0127473022460938
1.836,9136,9525,-9.694122521972655,-0.7110778930664062,-1.6998831787109374
1.844,8921,9574,-11.312602844238281,-1.0726023437499999,0.8834604125976562
1.852,8307,9858,-8.578424548339843,5.341463903808593,4.113238452148437
1.91,8082,10035,-9.270348828125,5.061342309570312,7.48906279296875
1.918,7803,10272,-6.478709692382812,3.574543078613281,8.664615808105468
1.926,7606,10419,-2.123656872558594,0.11013327636718749,9.81862100830078
1.934,7554,10464,-4.75009609375,-2.9568390502929685,14.908693737792968
1.942,7590,10462,0.4477157104492187,-0.09337386474609374,8.377311608886718
1.95,7658,10449,-9.689334118652344,0.70868369140625,2.327164013671875
1.957,6998,12098,-6.9910688476562495,-5.468356591796875,13.510479968261718
2.016,7265,12262,-7.352593298339843,-4.802768530273437,15.033192224121093
2.024,7773,12327,-7.60398447265625,-2.8227637573242186,12.466608044433594
2.032,8312,12407,-11.288660827636718,-0.2154781494140625,8.901641772460938
2.039,8714,12392,-10.026916552734374,0.24181436767578124,6.414066247558593
2.047,8966,12522,-10.374075793457031,1.4796166259765624,8.779537487792968
2.055,8860,12910,-4.414907861328125,-2.418143676757812,2.5450363647460934
2.113,8546,12840,-1.5059528442382812,-0.42377369384765623,8.013392956542969
2.121,8333,12922,-2.6144682128906247,-2.2026655273437497,11.415553515625
2.129,8324,12816,-10.156203442382813,-3.248931652832031,5.801150622558594
