Time (ms),Potentiometer 0 (mm),Potentiometer 1 (mm),Acceleration X (m/s^2),Acceleration Y (m/s^2),Acceleration Z (m/s^2)
0.0,9243,6853,-6.792350109863281,0.13646949462890623,4.584896179199219
0.008,9262,6852,-7.216123803710937,0.3902548706054687,4.515464331054687
0.016,9239,6860,-7.75721337890625,0.1580173095703125,3.0142998901367184
0.024,9258,6857,-7.558494641113281,0.4381389038085937,2.7820623291015623
0.032,9250,6862,-7.544129431152343,-0.6416460449218749,2.2194249389648437
0.039,9248,6869,-8.358157995605469,0.3806780639648437,2.4516625
0.047,9234,6877,-8.717288244628906,-0.09337386474609374,4.592078784179687
0.055,9226,7132,-11.559205615234374,-0.967257470703125,4.216189123535156
0.114,9227,7191,-9.627084875488281,-1.68551796875,4.860229370117187
0.121,9220,7246,-8.657433203124999,-2.157175695800781,5.116408947753906
0.129,9224,7267,-6.0333881835937495,-1.886630908203125,4.709394665527343
0.137,9222,7267,-4.414907861328125,-1.1156979736328125,4.029441394042968
0.145,9220,7271,-4.668693237304687,-1.235408056640625,5.027823486328125
0.153,9213,7410,-10.520122094726561,-0.49320554199218747,7.651868505859374
0.211,9214,7459,-11.518504187011718,-0.63206923828125,7.335833886718749
0.219,9211,7510,-11.985373510742187,-1.5658078857421873,6.366182214355469
0.227,9209,7557,-11.192892761230468,-2.4492682983398435,3.9145197143554684
0.235,9201,7629,-8.667010009765624,-2.427720483398437,3.0933085449218747
0.242,9202,7639,-6.335057592773437,-1.426944189453125,4.754884497070313
0.25,9177,7679,-5.5090580200195305,-0.6512228515624999,3.833116857910156
0.258,9002,7849,-10.335768566894531,-1.6256629272460936,7.331045483398437
0.317,9008,7858,-11.389217297363281,-1.3335703247070312,8.28633194580078
0.324,8985,7915,-10.94868419189453,-2.5641899780273434,7.041347082519531
0.332,9003,7893,-10.491391674804687,-2.7724855224609373,6.945579016113281
0.34,8977,7940,-9.811438403320311,-1.4939818359375,6.241683728027343
0.348,8999,7901,-7.963114721679687,-1.7238251953125,4.687846850585937
